sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q3891599,Los indígenas de Raposa Serra do Sol,forma parte de,Amazonia Legal,Amazonia Legal,Q4740925
Q3513124,Tumbalalá,instancia de,pueblo indígena,pueblo indígena,Q103817
Q7703096,Terra Indigena Uru-Eu-Uaw-Uaw,situado en la entidad territorial administrativa,Rondônia,Rondônia,Q43235
Q572484,yaminahua,instancia de,pueblos indígenas del Perú,pueblos indígenas del Perú,Q3557982
Q3891599,Los indígenas de Raposa Serra do Sol,situado en la entidad territorial administrativa,Uiramutã,Uiramutã,Q1637434
Q3891599,Los indígenas de Raposa Serra do Sol,situado en la entidad territorial administrativa,Pacaraima,Pacaraima,Q1647045
Q1258241,Lusofonía,instancia de,comunidad lingüística,comunidad lingüística,Q5494543
Q4793163,Armenios en Brasil,instancia de,diáspora o inmigración según país de origen y destino,diáspora o inmigración según país de origen y destino,Q117430967
Q7909515,Valle del Javari,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q3512942,Pankararus,instancia de,pueblo indígena,pueblo indígena,Q103817
Q3891599,Los indígenas de Raposa Serra do Sol,país,Brasil,Brasil,Q155
Q9648214,Barata/Livramento,país,Brasil,Brasil,Q155
Q572484,yaminahua,país de origen,Bolivia,Bolivia,Q750
Q572484,yaminahua,país de origen,Perú,Perú,Q419
Q572484,yaminahua,país de origen,Brasil,Brasil,Q155
Q572484,yaminahua,instancia de,Composición étnica de Bolivia,Composición étnica de Bolivia,Q6091085
Q7335296,Rio Omerê Indigenous Territory,país,Brasil,Brasil,Q155
Q183444,Parque Indígena de Xingu,instancia de,reserva india,reserva india,Q20203616
Q3512942,Pankararus,situado en la entidad territorial administrativa,Petrolândia,Petrolândia,Q2106455
Q3513124,Tumbalalá,nombre en la lengua nativa,Tumbalalá,Tumbalalá,
Q3513124,Tumbalalá,país,Brasil,Brasil,Q155
Q3512942,Pankararus,nombre en la lengua nativa,Pankararu,Pankararu,
Q7909515,Valle del Javari,situado en la entidad territorial administrativa,Amazonas,Amazonas,Q40040
Q3512942,Pankararus,situado en la entidad territorial administrativa,Tacaratu,Tacaratu,Q2011003
Q3891599,Los indígenas de Raposa Serra do Sol,instancia de,reserva india,reserva india,Q20203616
Q3512942,Pankararus,situado en la entidad territorial administrativa,Bom Jesus da Lapa,Bom Jesus da Lapa,Q891727
Q3512942,Pankararus,país,Brasil,Brasil,Q155
Q9627539,Araçá (terra indígena macuxi),país,Brasil,Brasil,Q155
Q7335296,Rio Omerê Indigenous Territory,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q4793163,Armenios en Brasil,país,Brasil,Brasil,Q155
Q7703095,terra indigena Menkragnoti,situado en la entidad territorial administrativa,Altamira,Altamira,Q434285
Q3513124,Tumbalalá,país de origen,Brasil,Brasil,Q155
Q7703094,Kayapó Indigenous Territory,país,Brasil,Brasil,Q155
Q3509835,Tabajara people,instancia de,pueblo indígena,pueblo indígena,Q103817
Q183444,Parque Indígena de Xingu,situado en la entidad territorial administrativa,Mato Grosso,Mato Grosso,Q42824
Q9615703,Anhetente,país,Brasil,Brasil,Q155
Q3513124,Tumbalalá,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q7703095,terra indigena Menkragnoti,situado en la entidad territorial administrativa,São Félix do Xingu,São Félix do Xingu,Q1807317
Q3512942,Pankararus,país de origen,Brasil,Brasil,Q155
Q7703095,terra indigena Menkragnoti,situado en la entidad territorial administrativa,Matupá,Matupá,Q2012202
Q7703094,Kayapó Indigenous Territory,situado en la entidad territorial administrativa,Región Norte de Brasil,Región Norte de Brasil,Q478465
Q3891599,Los indígenas de Raposa Serra do Sol,idioma oficial,Kapong,Kapong,Q54841654
Q2537324,Yawalapiti,nombre en la lengua nativa,Yawalapiti,Yawalapiti,
Q7703094,Kayapó Indigenous Territory,situado en la entidad territorial administrativa,Microrregión de São Félix do Xingu,Microrregión de São Félix do Xingu,Q542409
Q7703095,terra indigena Menkragnoti,país,Brasil,Brasil,Q155
Q7703094,Kayapó Indigenous Territory,situado en la entidad territorial administrativa,Mesorregión del Sudeste Paraense,Mesorregión del Sudeste Paraense,Q594273
Q9627539,Araçá (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q3512942,Pankararus,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q7703096,Terra Indigena Uru-Eu-Uaw-Uaw,país,Brasil,Brasil,Q155
Q3509835,Tabajara people,nombre en la lengua nativa,Tabajara,Tabajara,
Q3513124,Tumbalalá,situado en la entidad territorial administrativa,Bahía,Bahía,Q40430
Q2259699,Sateré-Mawé,instancia de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q3509835,Tabajara people,instancia de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q4793163,Armenios en Brasil,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q2259699,Sateré-Mawé,país,Brasil,Brasil,Q155
Q3509835,Tabajara people,país,Brasil,Brasil,Q155
Q7703094,Kayapó Indigenous Territory,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q2537324,Yawalapiti,instancia de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q9615703,Anhetente,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q1258241,Lusofonía,subclase de,persona,persona,Q215627
Q1258241,Lusofonía,subclase de,pueblo,pueblo,Q2472587
Q2537324,Yawalapiti,país,Brasil,Brasil,Q155
Q7703095,terra indigena Menkragnoti,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q7703096,Terra Indigena Uru-Eu-Uaw-Uaw,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q7703095,terra indigena Menkragnoti,situado en la entidad territorial administrativa,Peixoto de Azevedo,Peixoto de Azevedo,Q933251
Q7335296,Rio Omerê Indigenous Territory,situado en la entidad territorial administrativa,Rondônia,Rondônia,Q43235
Q1258241,Lusofonía,subclase de,hablante,hablante,Q16657634
Q3509835,Tabajara people,país de origen,Brasil,Brasil,Q155
Q10293218,Guyraitapu Pygua,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10304248,Terra Indígena Morro dos Cavalos,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q9661658,Boqueirão (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10380748,Terra Indígena Parque do Araguaia,situado en la entidad territorial administrativa,Tocantins,Tocantins,Q43695
Q10380739,Terra Indígena Barra Velha do Monte Pascoal,situado en la entidad territorial administrativa,Porto Seguro,Porto Seguro,Q499922
Q10378159,Tapixi,país,Brasil,Brasil,Q155
Q12167307,Хліборобсько-освітній союз,país,Brasil,Brasil,Q155
Q10380739,Terra Indígena Barra Velha do Monte Pascoal,situado en la entidad territorial administrativa,Prado,Prado,Q1807887
Q10349807,Pindó'ty,país,Brasil,Brasil,Q155
Q10304649,Jaboti (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10380741,Terra Indígena Coroa Vermelha,situado en la entidad territorial administrativa,Porto Seguro,Porto Seguro,Q499922
Q10306431,Jataí'ty,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10342590,Ouro (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q12628614,Caimbé,instancia de,pueblo indígena,pueblo indígena,Q103817
Q10323840,Manoá/Pium,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q9660900,Bom Jesus (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q9661658,Boqueirão (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380739,Terra Indígena Barra Velha do Monte Pascoal,situado en la entidad territorial administrativa,Itabela,Itabela,Q1798824
Q10378159,Tapixi,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380739,Terra Indígena Barra Velha do Monte Pascoal,situado en la entidad territorial administrativa,Itamaraju,Itamaraju,Q943536
Q10349807,Pindó'ty,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10304248,Terra Indígena Morro dos Cavalos,situado en la entidad territorial administrativa,Santa Catarina,Santa Catarina,Q41115
Q10380738,Terra Indígena Anta,país,Brasil,Brasil,Q155
Q10304649,Jaboti (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380739,Terra Indígena Barra Velha do Monte Pascoal,país,Brasil,Brasil,Q155
Q10385488,Tupinambás de Olivença,instancia de,pueblo indígena,pueblo indígena,Q103817
Q10380737,Terra Indígena Anaro,país,Brasil,Brasil,Q155
Q12167307,Хліборобсько-освітній союз,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q10380742,Terra indígena Enawenê-Nawê,país,Brasil,Brasil,Q155
Q10380744,Reserva Indígena Fazenda Bahiana (Nova Vida),situado en la entidad territorial administrativa,Camamu,Camamu,Q1795776
Q12628614,Caimbé,situado en la entidad territorial administrativa,Euclides da Cunha,Euclides da Cunha,Q2013802
Q10350136,Pium (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10380741,Terra Indígena Coroa Vermelha,país,Brasil,Brasil,Q155
Q10292529,Guarita (terra indígena),país,Brasil,Brasil,Q155
Q12628614,Caimbé,país,Brasil,Brasil,Q155
Q10380746,Terra Indígena Kapinawá,país,Brasil,Brasil,Q155
Q10380744,Reserva Indígena Fazenda Bahiana (Nova Vida),país,Brasil,Brasil,Q155
Q10380745,Terra Indígena Inãwébohona,país,Brasil,Brasil,Q155
Q10385488,Tupinambás de Olivença,nombre en la lengua nativa,Tupinambá,Tupinambá,
Q10332595,Moskow (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10359763,Reserva Indígena Roosevelt,idioma oficial,Cinta Larga,Cinta Larga,Q5121095
Q10380743,Terra Indígena Imbiriba,situado en la entidad territorial administrativa,Porto Seguro,Porto Seguro,Q499922
Q10380738,Terra Indígena Anta,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10385488,Tupinambás de Olivença,país,Brasil,Brasil,Q155
Q10380739,Terra Indígena Barra Velha do Monte Pascoal,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10359763,Reserva Indígena Roosevelt,país,Brasil,Brasil,Q155
Q10380737,Terra Indígena Anaro,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10292529,Guarita (terra indígena),instancia de,reserva india,reserva india,Q20203616
Q10380742,Terra indígena Enawenê-Nawê,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10357212,Raimundão (terra indígena macuxi),país,Brasil,Brasil,Q155
Q12628614,Caimbé,país de origen,Brasil,Brasil,Q155
Q10350136,Pium (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380741,Terra Indígena Coroa Vermelha,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10367865,Santa Inês (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10380746,Terra Indígena Kapinawá,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380744,Reserva Indígena Fazenda Bahiana (Nova Vida),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380745,Terra Indígena Inãwébohona,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10395624,Água Boa (aldeia indígena),país,Brasil,Brasil,Q155
Q10332595,Moskow (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q12628614,Caimbé,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q10380741,Terra Indígena Coroa Vermelha,situado en la entidad territorial administrativa,Santa Cruz Cabrália,Santa Cruz Cabrália,Q993466
Q10380743,Terra Indígena Imbiriba,país,Brasil,Brasil,Q155
Q10380787,Terra indígena Caramuru-Paraguaçu,país,Brasil,Brasil,Q155
Q10385488,Tupinambás de Olivença,país de origen,Brasil,Brasil,Q155
Q10380747,Terra Indígena Mãe Maria,país,Brasil,Brasil,Q155
Q9648214,Barata/Livramento,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10359763,Reserva Indígena Roosevelt,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380751,Terra Indígena Yanomami,país,Brasil,Brasil,Q155
Q10380748,Terra Indígena Parque do Araguaia,país,Brasil,Brasil,Q155
Q10357212,Raimundão (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10385488,Tupinambás de Olivença,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q10380747,Terra Indígena Mãe Maria,situado en la entidad territorial administrativa,Bom Jesus do Tocantins,Bom Jesus do Tocantins,Q599288
Q10296180,Mangueira,país,Brasil,Brasil,Q155
Q10367865,Santa Inês (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10351240,Ponta da Serra (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10395624,Água Boa (aldeia indígena),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10374651,Sucuba (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10380742,Terra indígena Enawenê-Nawê,situado en la entidad territorial administrativa,Mato Grosso,Mato Grosso,Q42824
Q10304243,Aldeia Tekoa Mboy Ty,situado en la entidad territorial administrativa,Niterói,Niterói,Q178725
Q10385488,Tupinambás de Olivença,situado en la entidad territorial administrativa,Bahía,Bahía,Q40430
Q10380743,Terra Indígena Imbiriba,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380787,Terra indígena Caramuru-Paraguaçu,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10304243,Aldeia Tekoa Mboy Ty,país,Brasil,Brasil,Q155
Q10380747,Terra Indígena Mãe Maria,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10380751,Terra Indígena Yanomami,instancia de,reserva india,reserva india,Q20203616
Q10292529,Guarita (terra indígena),situado en la entidad territorial administrativa,Río Grande del Sur,Río Grande del Sur,Q40030
Q10380748,Terra Indígena Parque do Araguaia,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10296180,Mangueira,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10351240,Ponta da Serra (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10374651,Sucuba (terra indígena macuxi),instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10293218,Guyraitapu Pygua,país,Brasil,Brasil,Q155
Q10304248,Terra Indígena Morro dos Cavalos,país,Brasil,Brasil,Q155
Q10380787,Terra indígena Caramuru-Paraguaçu,situado en la entidad territorial administrativa,Bahía,Bahía,Q40430
Q10304243,Aldeia Tekoa Mboy Ty,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q10306431,Jataí'ty,país,Brasil,Brasil,Q155
Q10342590,Ouro (terra indígena macuxi),país,Brasil,Brasil,Q155
Q10359763,Reserva Indígena Roosevelt,situado en la entidad territorial administrativa,Rondônia,Rondônia,Q43235
Q12628614,Caimbé,subclase de,Pueblos indígenas de Brasil,Pueblos indígenas de Brasil,Q1363781
Q10323840,Manoá/Pium,país,Brasil,Brasil,Q155
Q9660900,Bom Jesus (terra indígena macuxi),país,Brasil,Brasil,Q155
Q18276572,Terra Indígena Koatinemo,instancia de,Pueblos aislados,Pueblos aislados,Q672979
Q16487705,Aldeia da Pedra Branca,situado en la entidad territorial administrativa,Bahía,Bahía,Q40430
Q18276597,Terra Indígena Kuruáya,país,Brasil,Brasil,Q155
Q18276572,Terra Indígena Koatinemo,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18280689,Santuário dos Pajés,instancia de,área protegida,área protegida,Q473972
Q18279385,Terra Indígena Paquiçamba,situado en la entidad territorial administrativa,Pará,Pará,Q39517
Q18280891,Terra Indígena Sororó,situado en la entidad territorial administrativa,Pará,Pará,Q39517
Q18244780,Complexo Étnico da Serra das Matas,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18279421,Parakanã Indigenous Territory,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q20507375,Armenians in São Paulo,subclase de,Armenios en Brasil,Armenios en Brasil,Q4793163
Q16493298,Terra Indígena Arara,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18280691,Terra Indígena São Marcos,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16493325,Terra Indígena Araweté Igarapé Ipixuna,país,Brasil,Brasil,Q155
Q18276597,Terra Indígena Kuruáya,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16493119,Apyterewa Indigenous Territory,situado en la entidad territorial administrativa,São Félix do Xingu,São Félix do Xingu,Q1807317
Q18280689,Santuário dos Pajés,país,Brasil,Brasil,Q155
Q16489184,Alto Rio Guamá,situado en la entidad territorial administrativa,Pará,Pará,Q39517
Q16493119,Apyterewa Indigenous Territory,país,Brasil,Brasil,Q155
Q18275854,Ibirama-La Klãnõ,país,Brasil,Brasil,Q155
Q20507375,Armenians in São Paulo,país,Brasil,Brasil,Q155
Q18279352,Terra Indígena Panará,situado en la entidad territorial administrativa,Altamira,Altamira,Q434285
Q12628614,Caimbé,nombre en la lengua nativa,Kaimbé,Kaimbé,
Q18281003,Tembé Indigenous Territory,situado en la entidad territorial administrativa,Tomé-Açu,Tomé-Açu,Q1805230
Q18281003,Tembé Indigenous Territory,país,Brasil,Brasil,Q155
Q18276654,Terra Indígena Las Casas,situado en la entidad territorial administrativa,Pau-d'Arco,Pau-d'Arco,Q2008624
Q16493325,Terra Indígena Araweté Igarapé Ipixuna,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18285503,Terra Indígena Xikrin do Rio Catete,país,Brasil,Brasil,Q155
Q18281165,Trincheira/Bacajá Indigenous Territory,situado en la entidad territorial administrativa,Altamira,Altamira,Q434285
Q18279352,Terra Indígena Panará,situado en la entidad territorial administrativa,Guarantã do Norte,Guarantã do Norte,Q2012390
Q18276503,Terra Indígena Kararaô,país,Brasil,Brasil,Q155
Q18276654,Terra Indígena Las Casas,país,Brasil,Brasil,Q155
Q18280689,Santuário dos Pajés,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18280701,Terra Indígena Sarauá,país,Brasil,Brasil,Q155
Q16496060,Terra Indígena Badjonkore,situado en la entidad territorial administrativa,São Félix do Xingu,São Félix do Xingu,Q1807317
Q25439609,Terra Indígena Kawahiva do Rio Pardo,país,Brasil,Brasil,Q155
Q18279352,Terra Indígena Panará,país,Brasil,Brasil,Q155
Q16493119,Apyterewa Indigenous Territory,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18275854,Ibirama-La Klãnõ,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18279421,Parakanã Indigenous Territory,situado en la entidad territorial administrativa,Pará,Pará,Q39517
Q16496060,Terra Indígena Badjonkore,país,Brasil,Brasil,Q155
Q16920964,Kampa Indigenous Territory and Envira River Isolated Peoples,país,Brasil,Brasil,Q155
Q18280691,Terra Indígena São Marcos,situado en la entidad territorial administrativa,Roraima,Roraima,Q42508
Q18281165,Trincheira/Bacajá Indigenous Territory,situado en la entidad territorial administrativa,São Félix do Xingu,São Félix do Xingu,Q1807317
Q16493298,Terra Indígena Arara,situado en la entidad territorial administrativa,Pará,Pará,Q39517
Q16490077,Terra Indígena Anambé,situado en la entidad territorial administrativa,Moju,Moju,Q2008213
Q20507375,Armenians in São Paulo,instancia de,comunidad étnica,comunidad étnica,Q25380035
Q18281165,Trincheira/Bacajá Indigenous Territory,situado en la entidad territorial administrativa,Senador José Porfírio,Senador José Porfírio,Q609027
Q18281171,Terra Indígena Trocará,país,Brasil,Brasil,Q155
Q16496974,Terra Indígena Barreirinha,país,Brasil,Brasil,Q155
Q18281165,Trincheira/Bacajá Indigenous Territory,país,Brasil,Brasil,Q155
Q16496974,Terra Indígena Barreirinha,situado en la entidad territorial administrativa,Paragominas,Paragominas,Q935005
Q18280701,Terra Indígena Sarauá,situado en la entidad territorial administrativa,Ipixuna do Pará,Ipixuna do Pará,Q675175
Q18242019,Cajueiro,país,Brasil,Brasil,Q155
Q18281003,Tembé Indigenous Territory,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18280689,Santuário dos Pajés,situado en la entidad territorial administrativa,Brasilia,Brasilia,Q2844
Q18281171,Terra Indígena Trocará,situado en la entidad territorial administrativa,Tucuruí,Tucuruí,Q374432
Q18285503,Terra Indígena Xikrin do Rio Catete,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16490077,Terra Indígena Anambé,país,Brasil,Brasil,Q155
Q18281025,Terra Indígena Sete de Setembro,país,Brasil,Brasil,Q155
Q18276503,Terra Indígena Kararaô,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18276654,Terra Indígena Las Casas,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18280701,Terra Indígena Sarauá,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q20507375,Armenians in São Paulo,situado en la entidad territorial administrativa,São Paulo,São Paulo,Q174
Q18281165,Trincheira/Bacajá Indigenous Territory,situado en la entidad territorial administrativa,Anapu,Anapu,Q486142
Q18279352,Terra Indígena Panará,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16490081,Ananás,país,Brasil,Brasil,Q155
Q16497284,Terra Indígena Baú,país,Brasil,Brasil,Q155
Q18281165,Trincheira/Bacajá Indigenous Territory,situado en la entidad territorial administrativa,Bacajá River,Bacajá River,Q4838574
Q16496060,Terra Indígena Badjonkore,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16920964,Kampa Indigenous Territory and Envira River Isolated Peoples,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16490690,Aningal,país,Brasil,Brasil,Q155
Q18279385,Terra Indígena Paquiçamba,país,Brasil,Brasil,Q155
Q18275854,Ibirama-La Klãnõ,situado en la entidad territorial administrativa,Santa Catarina,Santa Catarina,Q41115
Q18280891,Terra Indígena Sororó,país,Brasil,Brasil,Q155
Q18281171,Terra Indígena Trocará,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16496974,Terra Indígena Barreirinha,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18281165,Trincheira/Bacajá Indigenous Territory,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18281200,Terra Indígena Turé-Mariquita,situado en la entidad territorial administrativa,Tomé-Açu,Tomé-Açu,Q1805230
Q18242019,Cajueiro,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18281200,Terra Indígena Turé-Mariquita,país,Brasil,Brasil,Q155
Q16490077,Terra Indígena Anambé,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18281025,Terra Indígena Sete de Setembro,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16487705,Aldeia da Pedra Branca,país,Brasil,Brasil,Q155
Q18276572,Terra Indígena Koatinemo,situado en la entidad territorial administrativa,Altamira,Altamira,Q434285
Q16490081,Ananás,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18279385,Terra Indígena Paquiçamba,idioma oficial,yuruna,yuruna,Q4023175
Q16497284,Terra Indígena Baú,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16489184,Alto Rio Guamá,país,Brasil,Brasil,Q155
Q16490690,Aningal,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18279385,Terra Indígena Paquiçamba,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18280891,Terra Indígena Sororó,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q20507375,Armenians in São Paulo,subclase de,armenios,armenios,Q79797
Q18276572,Terra Indígena Koatinemo,país,Brasil,Brasil,Q155
Q18281200,Terra Indígena Turé-Mariquita,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16487705,Aldeia da Pedra Branca,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q16489184,Alto Rio Guamá,instancia de,tierras indígenas de Brasil,tierras indígenas de Brasil,Q6024666
Q18244780,Complexo Étnico da Serra das Matas,país,Brasil,Brasil,Q155
Q18279421,Parakanã Indigenous Territory,país,Brasil,Brasil,Q155
