sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q399285,Agustín Hernández Navarro,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q263730,Alejandro Jodorowsky,lugar de nacimiento,Tocopilla,Tocopilla,Q188192
Q358895,Xavier Cortés Rocha,lugar de nacimiento,Tampico,Tampico,Q273014
Q318523,Abelardo Bustamante,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q399294,Agustín Landa Verdugo,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q77889,Olga Costa,lugar de nacimiento,Leipzig,Leipzig,Q2079
Q263552,Ana Maria Machado,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q315647,David Alfaro Siqueiros,lugar de nacimiento,Oporto,Oporto,Q36433
Q348591,Guillermo Kuitca,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q352356,Gunther Gerzso,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q312855,Paulo Mendes da Rocha,lugar de nacimiento,Vitória,Vitória,Q168376
Q358158,Sebastião Salgado,lugar de nacimiento,Aimorés,Aimorés,Q1650790
Q216342,Ernesto De Fiori,lugar de nacimiento,Roma,Roma,Q220
Q399305,Agustín Lazo Adalid,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q459802,Guiscardo Améndola,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q603801,Antonio Máro,lugar de nacimiento,Catacaos,Catacaos,Q3312424
Q1052895,Celia Calderón,lugar de nacimiento,Guanajuato,Guanajuato,Q61306
Q655986,Cristóbal Rojas,lugar de nacimiento,Cúa,Cúa,Q770309
Q466165,Carlos Latuff,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q1042835,Carlos Cruz-Diez,lugar de nacimiento,Caracas,Caracas,Q1533
Q1029490,Camilo Mori Serrano,lugar de nacimiento,Valparaíso,Valparaíso,Q33986
Q452079,Lola Mora,lugar de nacimiento,San Miguel de Tucumán,San Miguel de Tucumán,Q44255
Q1042978,Carlos Isamitt,lugar de nacimiento,Rengo,Rengo,Q56120
Q527844,Julia Emilia Valdés Borrero,lugar de nacimiento,Santiago de Cuba,Santiago de Cuba,Q117040
Q1118458,Aldo Locatelli,lugar de nacimiento,Bérgamo,Bérgamo,Q628
Q1052444,Cecilio Guzman de Rojas,lugar de nacimiento,Potosí,Potosí,Q35045
Q519367,Jesús Rafael Soto,lugar de nacimiento,Ciudad Bolívar,Ciudad Bolívar,Q26906
Q58399,Octavio Ocampo,lugar de nacimiento,Celaya,Celaya,Q580649
Q1074276,فرنسيسكو سولانو لوبيز,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q1042988,Carlos Jurado,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1042992,Carlos Kis,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1042679,Carlos Alvarado,lugar de nacimiento,La Piedad,La Piedad,Q1799019
Q1052287,Cecil Crawford O’Gorman,lugar de nacimiento,Foxcote House,Foxcote House,Q26449851
Q466627,Tarsila do Amaral,lugar de nacimiento,Capivari,Capivari,Q1750439
Q456427,Carlos María Herrera,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q445703,Consuelo de Saint-Exupéry,lugar de nacimiento,Armenia,Armenia,Q682015
Q48817,Ignacio Merino,lugar de nacimiento,Piura,Piura,Q223966
Q476899,Horacio Espondaburu,lugar de nacimiento,Minas,Minas,Q868205
Q1043102,Carlos Obregón Santacilia,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q428057,Conny Méndez,lugar de nacimiento,Caracas,Caracas,Q1533
Q1081056,Christian Mazzuca,lugar de nacimiento,La Plata,La Plata,Q44059
Q465919,Anita Malfatti,lugar de nacimiento,São Paulo,São Paulo,Q174
Q858635,Benito Camelo,lugar de nacimiento,Rivera,Rivera,Q646498
Q605196,Antonio Smith,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q474810,Prilidiano Pueyrredón,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q1043100,Carlos Mérida,lugar de nacimiento,Ciudad de Guatemala,Ciudad de Guatemala,Q1555
Q690790,Rufino Tamayo,lugar de nacimiento,Oaxaca de Juárez,Oaxaca de Juárez,Q131429
Q1095273,Clara de Buen Richkarday,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1042951,Carlos Grethe,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q444058,Arotxa,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1043110,Carlos Orozco,lugar de nacimiento,Guadalajara,Guadalajara,Q9022
Q452120,Amado de la Cueva,lugar de nacimiento,Guadalajara,Guadalajara,Q9022
Q675001,Alberto Vargas,lugar de nacimiento,Arequipa,Arequipa,Q159273
Q1102262,Abel Ramírez,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q520713,Joaquín Torres García,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q452079,Lola Mora,lugar de nacimiento,El Tala,El Tala,Q5352219
Q31242,Bruno Lechowski,lugar de nacimiento,Varsovia,Varsovia,Q270
Q1132146,Cordelia Urueta,lugar de nacimiento,Coyoacán,Coyoacán,Q661315
Q443889,Salvador Salazar Arrué,lugar de nacimiento,Sonsonate,Sonsonate,Q1014248
Q24705,Rafael Albuquerque,lugar de nacimiento,Porto Alegre,Porto Alegre,Q40269
Q476741,Manuel María Paz,lugar de nacimiento,Almaguer,Almaguer,Q2308989
Q475981,Luis Camnitzer,lugar de nacimiento,Lübeck,Lübeck,Q2843
Q671960,Mario Pani,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1043058,Carlos Valenti,lugar de nacimiento,París,París,Q90
Q558553,Enrique Grau,lugar de nacimiento,España,España,Q29
Q1113788,Ariel Olivetti,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q692098,Lasar Segall,lugar de nacimiento,Vilna,Vilna,Q216
Q12089,Jorge Délano Frederick,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q946076,Tomie Ohtake,lugar de nacimiento,Kioto,Kioto,Q34600
Q1148204,Mateo Saldaña Dosal,lugar de nacimiento,Totatiche,Totatiche,Q1009396
Q429299,Bárbaro Rivas,lugar de nacimiento,Petare,Petare,Q983946
Q690209,Angeli,lugar de nacimiento,São Paulo,São Paulo,Q174
Q64487,Mathias Goeritz,lugar de nacimiento,Gdansk,Gdansk,Q1792
Q466535,Lautaro Murúa,lugar de nacimiento,Tacna,Tacna,Q272795
Q1112847,Sergio de Castro,lugar de nacimiento,Buenos Aires,Buenos Aires,Q1486
Q432826,Saturnino Herrán,lugar de nacimiento,Aguascalientes,Aguascalientes,Q200805
Q1043070,Carlos Mijares,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q539657,Alicia Penalba,lugar de nacimiento,San Pedro,San Pedro,Q54119
Q4742,Manuel da Costa Ataíde,lugar de nacimiento,Mariana,Mariana,Q984567
Q44407,Ronald Golias,lugar de nacimiento,São Carlos,São Carlos,Q194338
Q963967,Juan Abreu,lugar de nacimiento,La Habana,La Habana,Q1563
Q1043170,Carlos Páez Vilaró,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q528804,Severo Sarduy,lugar de nacimiento,Camagüey,Camagüey,Q115329
Q28819,Edward Telleria,lugar de nacimiento,Santo Domingo,Santo Domingo,Q34820
Q1085046,Juan Mayr,lugar de nacimiento,Bogotá,Bogotá,Q2841
Q1042842,Carlos De los Ríos,lugar de nacimiento,Bogotá,Bogotá,Q2841
Q449779,José Luis Rodríguez Pittí,lugar de nacimiento,Ciudad de Panamá,Ciudad de Panamá,Q3306
Q528028,Fanny Rabel,lugar de nacimiento,Lublin,Lublin,Q37333
Q593656,Anna Maria Maiolino,lugar de nacimiento,Scalea,Scalea,Q54000
Q769610,Frans Krajcberg,lugar de nacimiento,Kozienice,Kozienice,Q990651
Q472866,Luis César Amadori,lugar de nacimiento,Pescara,Pescara,Q2704
Q710479,Arthur Luiz Piza,lugar de nacimiento,São Paulo,São Paulo,Q174
Q522662,Carmen Herrera,lugar de nacimiento,La Habana,La Habana,Q1563
Q24965,Benjamín Franklin Rawson,lugar de nacimiento,San Juan,San Juan,Q44241
Q88777,Adolfo Winternitz,lugar de nacimiento,Viena,Viena,Q1741
Q475650,José Luis Cuevas,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q438248,Marisol Escobar,lugar de nacimiento,XVI Distrito de París,XVI Distrito de París,Q194420
Q1097174,Leopoldo Artucio,lugar de nacimiento,Uruguay,Uruguay,Q77
Q459935,José Belloni,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q493832,Andrea Echeverri,lugar de nacimiento,Bogotá,Bogotá,Q2841
Q677769,Gilberto Freyre,lugar de nacimiento,Recife,Recife,Q48344
Q512862,Juan Pablo Terra,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q669728,Wolfgang Paalen,lugar de nacimiento,Viena,Viena,Q1741
Q45132,Rudy Youngblood,lugar de nacimiento,Belton,Belton,Q744550
Q518632,Carlos Saldanha,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q485158,Pedro Subercaseaux,lugar de nacimiento,Roma,Roma,Q220
Q723886,Sebastián,lugar de nacimiento,Chihuahua,Chihuahua,Q61302
Q468942,Pedro Juan Gutiérrez,lugar de nacimiento,Matanzas,Matanzas,Q272471
Q5588,Frida Kahlo,lugar de nacimiento,Villa Coyoacán,Villa Coyoacán,Q2597249
Q64277,Arthur Bispo do Rosário,lugar de nacimiento,Japaratuba,Japaratuba,Q2013178
Q1441976,Francisco Goitia,lugar de nacimiento,Zacatecas,Zacatecas,Q80269
Q1264724,Markus Mizne,lugar de nacimiento,Kiev,Kiev,Q1899
Q1275974,Gregorio de la Fuente,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1394068,Roberto Fontanarrosa,lugar de nacimiento,Rosario,Rosario,Q52535
Q1348122,Erasto Cortés Juárez,lugar de nacimiento,Tepeaca,Tepeaca,Q942512
Q1490058,Gabriela Stellino,lugar de nacimiento,Resistencia,Resistencia,Q44206
Q1333019,Elmina Moisan,lugar de nacimiento,Quillota,Quillota,Q56108
Q1287114,Edmundo Font López,lugar de nacimiento,Tampico,Tampico,Q273014
Q1388990,Pedro Figari,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1343964,Enrique Chagoya,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1556056,Jorge Juan Crespo de la Serna,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1406442,Fermín Revueltas,lugar de nacimiento,Durango,Durango,Q79918
Q1378325,Juan O'Gorman,lugar de nacimiento,Coyoacán,Coyoacán,Q661315
Q1441982,Francisco Gutiérrez Carreola,lugar de nacimiento,Oaxaca de Juárez,Oaxaca de Juárez,Q131429
Q1476661,Luis Ortiz Monasterio,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1433115,Alfredo Lobos,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1433115,Alfredo Lobos,lugar de nacimiento,Rancagua,Rancagua,Q4582
Q1406669,Fernando Gamboa,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1427517,Omar Gomez Rey,lugar de nacimiento,Bucaramanga,Bucaramanga,Q243766
Q1343602,Ernesto Neto,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q1239404,José Salomé Pina,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1531988,Alberto Valenzuela Llanos,lugar de nacimiento,San Fernando,San Fernando,Q187807
Q1386019,Ezequiel Plaza,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1406687,Fernando González Gortázar,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1683019,Richard Bampi,lugar de nacimiento,Amparo,Amparo,Q930321
Q1401969,João Batista Castagneto,lugar de nacimiento,Génova,Génova,Q1449
Q1290819,Eduardo Barreto,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1483206,Héctor Velázquez Moreno,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1554062,Guillermo Vergara,lugar de nacimiento,Melipilla,Melipilla,Q51032
Q1379000,Pedro Lira Rencoret,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1337425,Emilio Boggio,lugar de nacimiento,La Guaira,La Guaira,Q873405
Q1441933,Francisco Cornejo,lugar de nacimiento,La Paz,La Paz,Q214215
Q1709043,José Bernal,lugar de nacimiento,Santa Clara,Santa Clara,Q211590
Q1435414,Xul Solar,lugar de nacimiento,San Fernando,San Fernando,Q2241864
Q1287233,Sergio Cariello,lugar de nacimiento,Recife,Recife,Q48344
Q1703783,Jorge Camacho,lugar de nacimiento,La Habana,La Habana,Q1563
Q1423428,Juan Pablo Rebella,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1375395,Isaac Broid,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1337404,Emilio Amero,lugar de nacimiento,Ixtlahuaca,Ixtlahuaca,Q20148091
Q1242404,Gabriel Orozco,lugar de nacimiento,Xalapa-Enríquez,Xalapa-Enríquez,Q221051
Q1378152,Romero Britto,lugar de nacimiento,Recife,Recife,Q48344
Q1443521,Jorge Pardo,lugar de nacimiento,La Habana,La Habana,Q1563
Q1524106,Gilberto Aceves Navarro,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1400415,Federico Arnaud,lugar de nacimiento,Salto,Salto,Q335506
Q1419393,Sidival Fila,lugar de nacimiento,Paraná,Paraná,Q15499
Q1529092,Gladys Afamado,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1406720,Fernando Leal,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1442131,Francisco Moreno Capdevila,lugar de nacimiento,Barcelona,Barcelona,Q1492
Q1299091,Román Fresnedo Siri,lugar de nacimiento,Salto,Salto,Q335506
Q1403228,Felipe Santiago Gutiérrez,lugar de nacimiento,Texcoco de Mora,Texcoco de Mora,Q1141799
Q1338642,José Luis Calderón Cabrera,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1288454,Vik Muniz,lugar de nacimiento,São Paulo,São Paulo,Q174
Q1583742,Hansen-Bahia,lugar de nacimiento,Hamburgo,Hamburgo,Q1055
Q1406886,Fernando de la Jara,lugar de nacimiento,Lima,Lima,Q2868
Q1291564,Francisco Eppens Helguera,lugar de nacimiento,San Luis Potosí,San Luis Potosí,Q204271
Q1344036,Enrique Lobos,lugar de nacimiento,Rancagua,Rancagua,Q4582
Q1237485,Domingo García y Vásquez,lugar de nacimiento,Vigo,Vigo,Q8745
Q1356762,Ernesto Icaza Sánchez,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1426480,Manuel Felguérez,lugar de nacimiento,Valparaíso,Valparaíso,Q2651632
Q1243648,Dora Puelma,lugar de nacimiento,Antofagasta,Antofagasta,Q3612
Q1310024,Saúl Balagura,lugar de nacimiento,Cali,Cali,Q51103
Q1337517,Emilio Rosenblueth Stearns,lugar de nacimiento,México,México,Q96
Q1537334,Gonzalo Argüelles Bringas,lugar de nacimiento,Orizaba,Orizaba,Q993904
Q1370813,Estevão Silva,lugar de nacimiento,Niterói,Niterói,Q178725
Q1442000,Francisco J. Serrano,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1442196,Francisco Romano Guillemin,lugar de nacimiento,Tlapa de Comonfort,Tlapa de Comonfort,Q2446447
Q1377336,Juan Padrón,lugar de nacimiento,provincia de Matanzas,provincia de Matanzas,Q115438
Q1453813,Ricardo Porro,lugar de nacimiento,Camagüey,Camagüey,Q115329
Q1443303,Alejandra Ruddoff,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1311345,Francisco Dosamantes,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1484780,Santiago Álvarez Román,lugar de nacimiento,La Habana,La Habana,Q1563
Q1390638,Fabian Marcaccio,lugar de nacimiento,Rosario,Rosario,Q52535
Q1385872,Alfredo Jones Brown,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1351374,Francisco Toledo,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1465976,Luiz Aquila Da Rocha Miranda,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q1362191,Eduardo del Río,lugar de nacimiento,Zamora,Zamora,Q145865
Q1537338,Gonzalo Carrasco Espinosa,lugar de nacimiento,Otumba Municipality,Otumba Municipality,Q2641440
Q1439610,Cybèle Varela,lugar de nacimiento,Petrópolis,Petrópolis,Q189043
Q1383818,Alexander Witt,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1406765,Fernando Meza,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1374668,Manuel Tolsá,lugar de nacimiento,Enguera,Enguera,Q1769929
Q1489201,Gabriel Fernández Ledesma,lugar de nacimiento,Aguascalientes,Aguascalientes,Q200805
Q1373127,Francisco Tito Yupanqui,lugar de nacimiento,Copacabana,Copacabana,Q114211
Q1306614,Francisco Díaz de León,lugar de nacimiento,Aguascalientes,Aguascalientes,Q200805
Q1530067,Glauco Capozzoli,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1343932,Enrique Anleu Díaz,lugar de nacimiento,Ciudad de Guatemala,Ciudad de Guatemala,Q1555
Q1373348,Eugenio Zanetti,lugar de nacimiento,Córdoba,Córdoba,Q44210
Q1403049,Feliciano Peña,lugar de nacimiento,Guanajuato,Guanajuato,Q46475
Q1344035,Alejandro Obregón,lugar de nacimiento,Barcelona,Barcelona,Q1492
Q1442041,Francisco Joaquim Gomes Ribeiro,lugar de nacimiento,Portugal,Portugal,Q45
Q1400569,Federico Silva,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1343945,Enrique Bertrix,lugar de nacimiento,Santiago de Chile,Santiago de Chile,Q2887
Q1514313,Germán Cueto,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1554035,Guillermo Meza,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q1556754,Gustavo Alamón,lugar de nacimiento,Tacuarembó,Tacuarembó,Q833016
Q1438306,Almir da Silva Mavignier,lugar de nacimiento,Río de Janeiro,Río de Janeiro,Q8678
Q657432,Maurício de Sousa,lugar de nacimiento,Santa Isabel,Santa Isabel,Q952830
Q543612,Horacio Altuna,lugar de nacimiento,Córdoba,Córdoba,Q44210
Q652362,Wilmer Herrison,lugar de nacimiento,Maracaibo,Maracaibo,Q171632
Q939479,Gabriel Kondratiuk,lugar de nacimiento,El Bolsón,El Bolsón,Q1323928
Q834067,Bolívar Gaudín,lugar de nacimiento,Salto,Salto,Q335506
Q946250,Marius de Zayas,lugar de nacimiento,Veracruz,Veracruz,Q173270
Q1442122,Francisco Mora,lugar de nacimiento,Uruapan,Uruapan,Q399270
Q594158,Anton Sepp von Rechegg,lugar de nacimiento,Caldaro sulla Strada del Vino,Caldaro sulla Strada del Vino,Q278942
Q734714,Martín Blaszko,lugar de nacimiento,Berlín,Berlín,Q64
Q821528,Constantine Andreou,lugar de nacimiento,São Paulo,São Paulo,Q174
Q722644,Juan Manuel Blanes,lugar de nacimiento,Montevideo,Montevideo,Q1335
Q1601836,Helen Escobedo,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q724692,Roberto Montenegro,lugar de nacimiento,Guadalajara,Guadalajara,Q9022
Q734630,Eduardo Kingman,lugar de nacimiento,Cantón Portovelo,Cantón Portovelo,Q661446
Q711906,Leopoldo Méndez,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
Q949563,Amílcar de Castro,lugar de nacimiento,Paraisópolis,Paraisópolis,Q522717
Q715298,Arturo Gordon Vargas,lugar de nacimiento,Casablanca,Casablanca,Q3742
Q778446,Helmut Ditsch,lugar de nacimiento,Villa Ballester,Villa Ballester,Q2226347
Q1709505,Miguel Covarrubias,lugar de nacimiento,Ciudad de México,Ciudad de México,Q1489
