sujeto_qid,entidad,relacion,valor,valor_es,valor_qid
Q383530,afoxê,país de origen,Brasil,Brasil,Q155
Q455686,samba reggae,subclase de,axé,axé,Q1435485
Q19816,batucada,instancia de,género musical,género musical,Q188451
Q942955,milonga,subclase de,música folclórica latinoamericana,música folclórica latinoamericana,Q98528197
Q486263,bossa nova,país de origen,Brasil,Brasil,Q155
Q1076539,choro,país de origen,Brasil,Brasil,Q155
Q504476,Ciranda,instancia de,tipo de baile,tipo de baile,Q107357104
Q505343,Jongo,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q1130969,fandango,subclase de,baile folclórico español,baile folclórico español,Q116174743
Q455686,samba reggae,instancia de,género musical,género musical,Q188451
Q942955,milonga,instancia de,género musical,género musical,Q188451
Q1455932,Frevo,subclase de,carnival music,carnival music,Q114239322
Q504476,Ciranda,subclase de,round dance,round dance,Q1748869
Q1335045,embolada,país de origen,Brasil,Brasil,Q155
Q1046768,música popular brasileña,instancia de,género musical,género musical,Q188451
Q586110,Forró,subclase de,música brasileña,música brasileña,Q899215
Q1130969,fandango,instancia de,tipo de baile,tipo de baile,Q107357104
Q19816,batucada,subclase de,samba,samba,Q11403
Q504476,Ciranda,instancia de,género musical,género musical,Q188451
Q1455932,Frevo,subclase de,música brasileña,música brasileña,Q899215
Q502808,xote,país de origen,Brasil,Brasil,Q155
Q1435485,axé,país de origen,Brasil,Brasil,Q155
Q502448,coco,país de origen,Brasil,Brasil,Q155
Q1455932,Frevo,instancia de,tipo de baile,tipo de baile,Q107357104
Q430075,Maxixe,subclase de,música brasileña,música brasileña,Q899215
Q834959,Samba rock,instancia de,género musical,género musical,Q188451
Q505343,Jongo,instancia de,tipo de baile,tipo de baile,Q107357104
Q430075,Maxixe,instancia de,tipo de baile,tipo de baile,Q107357104
Q1455932,Frevo,subclase de,baile de Brasil,baile de Brasil,Q10264148
Q1036183,carimbó,subclase de,música brasileña,música brasileña,Q899215
Q19816,batucada,país de origen,Brasil,Brasil,Q155
Q11403,samba,subclase de,música brasileña,música brasileña,Q899215
Q1036183,carimbó,instancia de,tipo de baile,tipo de baile,Q107357104
Q430075,Maxixe,subclase de,baile de Brasil,baile de Brasil,Q10264148
Q533946,Lambada,subclase de,música brasileña,música brasileña,Q899215
Q1484821,Música Erudita Brasileira,instancia de,género musical,género musical,Q188451
Q942955,milonga,instancia de,forma musical,forma musical,Q862597
Q533946,Lambada,instancia de,tipo de baile,tipo de baile,Q107357104
Q586110,Forró,subclase de,música de baile,música de baile,Q316930
Q383530,afoxê,subclase de,música brasileña,música brasileña,Q899215
Q533946,Lambada,subclase de,baile de Brasil,baile de Brasil,Q10264148
Q486263,bossa nova,subclase de,música brasileña,música brasileña,Q899215
Q1076539,choro,subclase de,música brasileña,música brasileña,Q899215
Q586110,Forró,instancia de,género musical,género musical,Q188451
Q455686,samba reggae,país de origen,Brasil,Brasil,Q155
Q1130969,fandango,instancia de,género musical,género musical,Q188451
Q942955,milonga,país de origen,Argentina,Argentina,Q414
Q942955,milonga,país de origen,Uruguay,Uruguay,Q77
Q942955,milonga,país de origen,Brasil,Brasil,Q155
Q3470692,Samba-enredo,instancia de,género musical,género musical,Q188451
Q1759189,Manguebeat,subclase de,música brasileña,música brasileña,Q899215
Q4011109,rasqueado,país de origen,Brasil,Brasil,Q155
Q3360459,Pagode,instancia de,género musical,género musical,Q188451
Q3554510,vanera,subclase de,danza,danza,Q11639
Q1958247,Música gaúcha brasileña,país de origen,Brasil,Brasil,Q155
Q1499839,Lundu,subclase de,Brazilian folk dance,Brazilian folk dance,Q116173474
Q5069474,Chamarrita,país de origen,Brasil,Brasil,Q155
Q1634085,Tecnobrega,subclase de,música electrónica,música electrónica,Q9778
Q3889661,marchinha,subclase de,música brasileña,música brasileña,Q899215
Q2879962,Baião (música),instancia de,género musical,género musical,Q188451
Q3554510,vanera,país de origen,Brasil,Brasil,Q155
Q3135796,Hip hop brasileño,subclase de,música brasileña,música brasileña,Q899215
Q1692318,modinha,país de origen,Portugal,Portugal,Q45
Q1692318,modinha,país de origen,Brasil,Brasil,Q155
Q4215151,samba-canción,instancia de,género musical,género musical,Q188451
Q1499839,Lundu,instancia de,tipo de baile,tipo de baile,Q107357104
Q1484821,Música Erudita Brasileira,país de origen,Brasil,Brasil,Q155
Q3470688,Samba de Gafieira,subclase de,samba,samba,Q11403
Q2863648,Arrocha,país de origen,Brasil,Brasil,Q155
Q3470692,Samba-enredo,subclase de,samba,samba,Q11403
Q6039799,aboio,país de origen,Brasil,Brasil,Q155
Q3360459,Pagode,subclase de,samba,samba,Q11403
Q1958273,Música sertaneja,país de origen,Brasil,Brasil,Q155
Q1759189,Manguebeat,instancia de,género musical,género musical,Q188451
Q1753071,Maracatu,país de origen,Brasil,Brasil,Q155
Q2936879,Repentismo,subclase de,música brasileña,música brasileña,Q899215
Q1931130,funk carioca,subclase de,funk brasileño,funk brasileño,Q117745223
Q2631396,rock brasileño,subclase de,música brasileña,música brasileña,Q899215
Q3470688,Samba de Gafieira,país de origen,Brasil,Brasil,Q155
Q1634085,Tecnobrega,instancia de,tipo de baile,tipo de baile,Q107357104
Q3470692,Samba-enredo,país de origen,Brasil,Brasil,Q155
Q3889661,marchinha,instancia de,género musical,género musical,Q188451
Q2879962,Baião (música),subclase de,danza,danza,Q11639
Q3360459,Pagode,país de origen,Brasil,Brasil,Q155
Q1634085,Tecnobrega,subclase de,música de Pará,música de Pará,Q10334891
Q1692318,modinha,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q2464314,Brega,subclase de,música brasileña,música brasileña,Q899215
Q3135796,Hip hop brasileño,instancia de,género musical,género musical,Q188451
Q4215151,samba-canción,subclase de,samba,samba,Q11403
Q3135796,Hip hop brasileño,subclase de,hip hop latino,hip hop latino,Q3827483
Q1499839,Lundu,instancia de,género musical,género musical,Q188451
Q1759189,Manguebeat,instancia de,movimiento cultural,movimiento cultural,Q2198855
Q1484821,Música Erudita Brasileira,subclase de,Latin American classical music,Latin American classical music,Q109326663
Q1759189,Manguebeat,instancia de,movimiento musical,movimiento musical,Q12020884
Q2879962,Baião (música),país de origen,Brasil,Brasil,Q155
Q6039799,aboio,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q1634085,Tecnobrega,subclase de,Brega,Brega,Q2464314
Q1753071,Maracatu,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q4011109,rasqueado,instancia de,tipo de baile,tipo de baile,Q107357104
Q1958247,Música gaúcha brasileña,subclase de,música brasileña,música brasileña,Q899215
Q4215151,samba-canción,país de origen,Brasil,Brasil,Q155
Q2936879,Repentismo,instancia de,género musical,género musical,Q188451
Q1634085,Tecnobrega,instancia de,género musical,género musical,Q188451
Q2631396,rock brasileño,instancia de,género musical,género musical,Q188451
Q3554510,vanera,instancia de,tipo de baile,tipo de baile,Q107357104
Q1759189,Manguebeat,país de origen,Brasil,Brasil,Q155
Q1931130,funk carioca,instancia de,género musical,género musical,Q188451
Q4011109,rasqueado,subclase de,Música sertaneja,Música sertaneja,Q1958273
Q1484821,Música Erudita Brasileira,subclase de,música brasileña,música brasileña,Q899215
Q5069474,Chamarrita,subclase de,música folclórica latinoamericana,música folclórica latinoamericana,Q98528197
Q2464314,Brega,instancia de,género musical,género musical,Q188451
Q7124405,pagode de viola,subclase de,música brasileña,música brasileña,Q899215
Q3889661,marchinha,país de origen,Brasil,Brasil,Q155
Q1958273,Música sertaneja,subclase de,música brasileña,música brasileña,Q899215
Q4011109,rasqueado,instancia de,género musical,género musical,Q188451
Q3554510,vanera,subclase de,Música gaúcha brasileña,Música gaúcha brasileña,Q1958247
Q3135796,Hip hop brasileño,país de origen,Brasil,Brasil,Q155
Q1958247,Música gaúcha brasileña,instancia de,género musical,género musical,Q188451
Q1499839,Lundu,país de origen,Brasil,Brasil,Q155
Q5069474,Chamarrita,instancia de,género musical,género musical,Q188451
Q3470688,Samba de Gafieira,instancia de,tipo de baile,tipo de baile,Q107357104
Q5069474,Chamarrita,subclase de,música latina,música latina,Q18345375
Q3470688,Samba de Gafieira,subclase de,baile de Brasil,baile de Brasil,Q10264148
Q3360459,Pagode,instancia de,tipo de baile,tipo de baile,Q107357104
Q3554510,vanera,instancia de,género musical,género musical,Q188451
Q3135796,Hip hop brasileño,instancia de,escena de música,escena de música,Q28820001
Q2863648,Arrocha,subclase de,Brega,Brega,Q2464314
Q5069474,Chamarrita,subclase de,música litoraleña,música litoraleña,Q6036543
Q1692318,modinha,instancia de,género musical,género musical,Q188451
Q2936879,Repentismo,país de origen,Brasil,Brasil,Q155
Q2879962,Baião (música),subclase de,música brasileña,música brasileña,Q899215
Q1634085,Tecnobrega,país de origen,Brasil,Brasil,Q155
Q2631396,rock brasileño,subclase de,rock,rock,Q11399
Q2631396,rock brasileño,país de origen,Brasil,Brasil,Q155
Q2879962,Baião (música),instancia de,tipo de baile,tipo de baile,Q107357104
Q7124405,pagode de viola,instancia de,género musical,género musical,Q188451
Q2863648,Arrocha,instancia de,género musical,género musical,Q188451
Q6039799,aboio,instancia de,género musical,género musical,Q188451
Q1931130,funk carioca,país de origen,Brasil,Brasil,Q155
Q4011109,rasqueado,subclase de,danza,danza,Q11639
Q1958273,Música sertaneja,instancia de,género musical,género musical,Q188451
Q3470688,Samba de Gafieira,subclase de,slow dance,slow dance,Q280336
Q6039799,aboio,subclase de,Canción de trabajo,Canción de trabajo,Q502658
Q1753071,Maracatu,instancia de,género musical,género musical,Q188451
Q1499839,Lundu,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q2464314,Brega,país de origen,Brasil,Brasil,Q155
Q2631396,rock brasileño,instancia de,escena de música,escena de música,Q28820001
Q3889661,marchinha,subclase de,carnival music,carnival music,Q114239322
Q3470688,Samba de Gafieira,instancia de,género musical,género musical,Q188451
Q10292943,guitarrada,subclase de,Lambada,Lambada,Q533946
Q10324896,maracatu rural,subclase de,Maracatu,Maracatu,Q1753071
Q10283582,electronic forró,subclase de,Forró,Forró,Q586110
Q10324896,maracatu rural,instancia de,tipo de baile,tipo de baile,Q107357104
Q10292943,guitarrada,subclase de,música de Pará,música de Pará,Q10334891
Q10324896,maracatu rural,subclase de,folguedo,folguedo,Q10283188
Q10334898,Brazilian indigenous music,país de origen,Brasil,Brasil,Q155
Q9300201,Samba de Roda,instancia de,tipo de baile,tipo de baile,Q107357104
Q7624424,stronda,subclase de,Hip hop brasileño,Hip hop brasileño,Q3135796
Q7624424,stronda,instancia de,género musical,género musical,Q188451
Q10351563,ponto cantado,país de origen,Brasil,Brasil,Q155
Q10363654,roda de samba,país de origen,Brasil,Brasil,Q155
Q10316114,lambadão cuiabano,subclase de,Lambada,Lambada,Q533946
Q7260407,música punk en Brasil,subclase de,música brasileña,música brasileña,Q899215
Q10316114,lambadão cuiabano,instancia de,tipo de baile,tipo de baile,Q107357104
Q7124405,pagode de viola,país de origen,Brasil,Brasil,Q155
Q10292943,guitarrada,instancia de,género musical,género musical,Q188451
Q10324896,maracatu rural,instancia de,género musical,género musical,Q188451
Q10283584,forró universitário,subclase de,Forró,Forró,Q586110
Q10283582,electronic forró,instancia de,género musical,género musical,Q188451
Q10286515,Funk melody,país de origen,Brasil,Brasil,Q155
Q10334898,Brazilian indigenous music,subclase de,indigenous American folk music,indigenous American folk music,Q106926276
Q10334898,Brazilian indigenous music,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q10334895,traditional music of Mato Grosso do Sul,instancia de,género musical,género musical,Q188451
Q10367221,samba-funk,subclase de,funk,funk,Q164444
Q10343541,pagode romântico,país de origen,Brasil,Brasil,Q155
Q9300201,Samba de Roda,instancia de,género musical,género musical,Q188451
Q10331354,moda de viola,instancia de,género musical,género musical,Q188451
Q10260594,Corinhos,subclase de,música brasileña,música brasileña,Q899215
Q8251828,brega pop,instancia de,tipo de baile,tipo de baile,Q107357104
Q10324896,maracatu rural,instancia de,patrimonio cultural,patrimonio cultural,Q210272
Q10354439,Proibidão,subclase de,funk carioca,funk carioca,Q1931130
Q10316114,lambadão cuiabano,instancia de,género musical,género musical,Q188451
Q8251828,brega pop,subclase de,música de Pará,música de Pará,Q10334891
Q7124405,pagode de viola,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q7624424,stronda,país de origen,Brasil,Brasil,Q155
Q7260407,música punk en Brasil,instancia de,género musical,género musical,Q188451
Q9300201,Samba de Roda,instancia de,patrimonio cultural,patrimonio cultural,Q210272
Q10283584,forró universitário,instancia de,género musical,género musical,Q188451
Q10285947,frevo-canção,subclase de,Frevo,Frevo,Q1455932
Q10367218,samba-chulado,instancia de,género musical,género musical,Q188451
Q10354439,Proibidão,instancia de,género musical,género musical,Q188451
Q10367219,samba-corrido,instancia de,género musical,género musical,Q188451
Q10367216,samba-batido,instancia de,género musical,género musical,Q188451
Q10367217,samba-choro,instancia de,género musical,género musical,Q188451
Q8251828,brega pop,subclase de,Brega,Brega,Q2464314
Q10285948,frevo de bloco,subclase de,Frevo,Frevo,Q1455932
Q10367222,samba-joia,instancia de,género musical,género musical,Q188451
Q10334898,Brazilian indigenous music,instancia de,música por grupo étnico,música por grupo étnico,Q106537557
Q10367220,samba-exaltação,instancia de,género musical,género musical,Q188451
Q10367221,samba-funk,instancia de,género musical,género musical,Q188451
Q10292943,guitarrada,país de origen,Brasil,Brasil,Q155
Q10324896,maracatu rural,país de origen,Brasil,Brasil,Q155
Q10283582,electronic forró,país de origen,Brasil,Brasil,Q155
Q10260594,Corinhos,instancia de,género musical,género musical,Q188451
Q10351563,ponto cantado,instancia de,tipo de canción,tipo de canción,Q107356781
Q10363654,roda de samba,subclase de,música brasileña,música brasileña,Q899215
Q10286515,Funk melody,subclase de,funk brasileño,funk brasileño,Q117745223
Q10334895,traditional music of Mato Grosso do Sul,país de origen,Brasil,Brasil,Q155
Q8251828,brega pop,instancia de,género musical,género musical,Q188451
Q10285947,frevo-canção,instancia de,género musical,género musical,Q188451
Q9300201,Samba de Roda,país de origen,Brasil,Brasil,Q155
Q10285948,frevo de bloco,instancia de,género musical,género musical,Q188451
Q10331354,moda de viola,país de origen,Brasil,Brasil,Q155
Q10260594,Corinhos,subclase de,música cristiana,música cristiana,Q6452410
Q10367218,samba-chulado,subclase de,Samba de Roda,Samba de Roda,Q9300201
Q10367219,samba-corrido,subclase de,Samba de Roda,Samba de Roda,Q9300201
Q10367216,samba-batido,subclase de,samba,samba,Q11403
Q10334898,Brazilian indigenous music,instancia de,género musical,género musical,Q188451
Q10367217,samba-choro,subclase de,samba,samba,Q11403
Q10316114,lambadão cuiabano,país de origen,Brasil,Brasil,Q155
Q10367220,samba-exaltação,subclase de,samba,samba,Q11403
Q7260407,música punk en Brasil,país de origen,Brasil,Brasil,Q155
Q10367221,samba-funk,subclase de,samba,samba,Q11403
Q10351563,ponto cantado,instancia de,género musical,género musical,Q188451
Q10334895,traditional music of Mato Grosso do Sul,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q10351563,ponto cantado,subclase de,Jongo,Jongo,Q505343
Q10283584,forró universitário,país de origen,Brasil,Brasil,Q155
Q10367218,samba-chulado,país de origen,Brasil,Brasil,Q155
Q9300201,Samba de Roda,subclase de,música folclórica brasileira,música folclórica brasileira,Q106926325
Q10354439,Proibidão,país de origen,Brasil,Brasil,Q155
Q10367219,samba-corrido,país de origen,Brasil,Brasil,Q155
Q8251828,brega pop,subclase de,pop,pop,Q37073
Q10367216,samba-batido,país de origen,Brasil,Brasil,Q155
Q10286515,Funk melody,subclase de,dance pop,dance pop,Q211756
Q10363654,roda de samba,instancia de,género musical,género musical,Q188451
Q10367217,samba-choro,país de origen,Brasil,Brasil,Q155
Q10331354,moda de viola,subclase de,sertanejo de raiz,sertanejo de raiz,Q106594814
Q7260407,música punk en Brasil,instancia de,escena de música,escena de música,Q28820001
Q10367220,samba-exaltação,país de origen,Brasil,Brasil,Q155
Q10367221,samba-funk,país de origen,Brasil,Brasil,Q155
Q7260407,música punk en Brasil,subclase de,punk,punk,Q3071
Q10260594,Corinhos,país de origen,Brasil,Brasil,Q155
Q10286515,Funk melody,instancia de,género musical,género musical,Q188451
Q8251828,brega pop,país de origen,Brasil,Brasil,Q155
Q10285947,frevo-canção,país de origen,Brasil,Brasil,Q155
Q10343541,pagode romântico,subclase de,Pagode,Pagode,Q3360459
Q9300201,Samba de Roda,subclase de,Brazilian folk dance,Brazilian folk dance,Q116173474
Q10343541,pagode romântico,instancia de,género musical,género musical,Q188451
Q10285948,frevo de bloco,país de origen,Brasil,Brasil,Q155
Q20716146,rasteirinha,instancia de,género musical,género musical,Q188451
Q127835664,trapfunk,país de origen,Brasil,Brasil,Q155
Q10370558,sertanejo universitário,subclase de,Música sertaneja,Música sertaneja,Q1958273
Q10367259,sambalanço,subclase de,samba,samba,Q11403
Q10367246,samba de breque,país de origen,Brasil,Brasil,Q155
Q109466271,Feminejo,instancia de,género musical,género musical,Q188451
Q108167943,maracatu nação,país de origen,Brasil,Brasil,Q155
Q97180498,samba afro,país de origen,Brasil,Brasil,Q155
Q119820709,lundu marajoara,país de origen,Brasil,Brasil,Q155
Q13634037,Samba jazz,subclase de,samba,samba,Q11403
Q10367249,samba de terreiro,país de origen,Brasil,Brasil,Q155
Q10370558,sertanejo universitário,instancia de,género musical,género musical,Q188451
Q100139647,Arrochadeira,subclase de,Arrocha,Arrocha,Q2863648
Q10367259,sambalanço,país de origen,Brasil,Brasil,Q155
Q19708604,funk ousadia,país de origen,Brasil,Brasil,Q155
Q100139647,Arrochadeira,instancia de,género musical,género musical,Q188451
Q13634037,Samba jazz,país de origen,Brasil,Brasil,Q155
Q30931016,samba duro,subclase de,samba,samba,Q11403
Q10387147,udigrudi,subclase de,northeastern Brazilian music,northeastern Brazilian music,Q117632917
Q17002468,Brasília hip hop,país de origen,Brasil,Brasil,Q155
Q108297247,funknejo,país de origen,Brasil,Brasil,Q155
Q30931016,samba duro,país de origen,Brasil,Brasil,Q155
Q51882621,samba junino,instancia de,género musical,género musical,Q188451
Q25448883,Pagode baiano,país de origen,Brasil,Brasil,Q155
Q131195285,Brazilian reggae,país de origen,Brasil,Brasil,Q155
Q17002468,Brasília hip hop,instancia de,escena de música,escena de música,Q28820001
Q106926325,música folclórica brasileira,país de origen,Brasil,Brasil,Q155
Q20716146,rasteirinha,país de origen,Brasil,Brasil,Q155
Q127835664,trapfunk,subclase de,funk brasileño,funk brasileño,Q117745223
Q109466271,Feminejo,país de origen,Brasil,Brasil,Q155
Q131195285,Brazilian reggae,instancia de,escena de música,escena de música,Q28820001
Q10389097,vanguarda paulista,subclase de,música brasileña,música brasileña,Q899215
Q10387147,udigrudi,subclase de,Acid folk,Acid folk,Q1500364
Q10370558,sertanejo universitário,país de origen,Brasil,Brasil,Q155
Q13634037,Samba jazz,subclase de,jazz,jazz,Q8341
Q51882621,samba junino,subclase de,samba duro,samba duro,Q30931016
Q100139647,Arrochadeira,país de origen,Brasil,Brasil,Q155
Q108167943,maracatu nação,subclase de,Maracatu,Maracatu,Q1753071
Q108167943,maracatu nação,instancia de,tipo de baile,tipo de baile,Q107357104
Q10387147,udigrudi,instancia de,género musical,género musical,Q188451
Q15893013,Funk ostentação,subclase de,funk carioca,funk carioca,Q1931130
Q10367223,samba-maxixe,instancia de,género musical,género musical,Q188451
Q10367226,samba-sincopado,instancia de,género musical,género musical,Q188451
Q108297247,funknejo,subclase de,funk brasileño,funk brasileño,Q117745223
Q10367224,samba-raiado,instancia de,género musical,género musical,Q188451
Q119820709,lundu marajoara,subclase de,Lundu,Lundu,Q1499839
Q51882621,samba junino,país de origen,Brasil,Brasil,Q155
Q131195285,Brazilian reggae,subclase de,reggae,reggae,Q9794
Q15893013,Funk ostentação,instancia de,género musical,género musical,Q188451
Q10389097,vanguarda paulista,instancia de,género musical,género musical,Q188451
Q20716146,rasteirinha,subclase de,funk brasileño,funk brasileño,Q117745223
Q127835664,trapfunk,instancia de,género musical,género musical,Q188451
Q131195285,Brazilian reggae,subclase de,música brasileña,música brasileña,Q899215
Q10367246,samba de breque,instancia de,género musical,género musical,Q188451
Q10387147,udigrudi,instancia de,movimiento musical,movimiento musical,Q12020884
Q108167943,maracatu nação,instancia de,género musical,género musical,Q188451
Q97180498,samba afro,instancia de,género musical,género musical,Q188451
Q119820709,lundu marajoara,instancia de,género musical,género musical,Q188451
Q19708604,funk ousadia,subclase de,funk carioca,funk carioca,Q1931130
Q100139647,Arrochadeira,subclase de,Swingueira,Swingueira,Q110101806
Q108297247,funknejo,subclase de,sertanejo universitário,sertanejo universitário,Q10370558
Q106926325,música folclórica brasileira,subclase de,música brasileña,música brasileña,Q899215
Q10367249,samba de terreiro,instancia de,género musical,género musical,Q188451
Q10367222,samba-joia,subclase de,samba,samba,Q11403
Q10367223,samba-maxixe,subclase de,samba,samba,Q11403
Q10367259,sambalanço,instancia de,género musical,género musical,Q188451
Q10367224,samba-raiado,subclase de,Samba de Roda,Samba de Roda,Q9300201
Q10367226,samba-sincopado,subclase de,samba,samba,Q11403
Q19708604,funk ousadia,instancia de,género musical,género musical,Q188451
Q10389097,vanguarda paulista,instancia de,movimiento musical,movimiento musical,Q12020884
Q25448883,Pagode baiano,subclase de,axé,axé,Q1435485
Q13634037,Samba jazz,instancia de,género musical,género musical,Q188451
Q106926325,música folclórica brasileira,subclase de,música folclórica latinoamericana,música folclórica latinoamericana,Q98528197
Q10387147,udigrudi,país de origen,Brasil,Brasil,Q155
Q10367222,samba-joia,país de origen,Brasil,Brasil,Q155
Q17002468,Brasília hip hop,subclase de,Hip hop brasileño,Hip hop brasileño,Q3135796
Q10367223,samba-maxixe,país de origen,Brasil,Brasil,Q155
Q108167943,maracatu nação,instancia de,patrimonio cultural,patrimonio cultural,Q210272
Q17002468,Brasília hip hop,instancia de,género musical,género musical,Q188451
Q10367226,samba-sincopado,país de origen,Brasil,Brasil,Q155
Q108297247,funknejo,instancia de,género musical,género musical,Q188451
Q10367224,samba-raiado,país de origen,Brasil,Brasil,Q155
Q10367246,samba de breque,subclase de,samba,samba,Q11403
Q25448883,Pagode baiano,subclase de,Pagode,Pagode,Q3360459
Q30931016,samba duro,instancia de,género musical,género musical,Q188451
Q97180498,samba afro,subclase de,samba,samba,Q11403
Q25448883,Pagode baiano,instancia de,género musical,género musical,Q188451
Q131195285,Brazilian reggae,instancia de,género musical,género musical,Q188451
Q15893013,Funk ostentação,país de origen,Brasil,Brasil,Q155
Q109466271,Feminejo,subclase de,Música sertaneja,Música sertaneja,Q1958273
Q10389097,vanguarda paulista,país de origen,Brasil,Brasil,Q155
Q10367249,samba de terreiro,subclase de,samba,samba,Q11403
Q106926325,música folclórica brasileira,instancia de,género musical,género musical,Q188451
Q3410882,Punto cubano,subclase de,Música de Cuba,Música de Cuba,Q1544863
Q1744659,Salsa (estilo cubano),instancia de,género musical,género musical,Q188451
Q388475,Rumba cubana,instancia de,tipo de baile,tipo de baile,Q107357104
Q2420447,trova,país de origen,Cuba,Cuba,Q241
Q4873394,Batá-rumba,subclase de,Rumba cubana,Rumba cubana,Q388475
Q4873394,Batá-rumba,instancia de,género musical,género musical,Q188451
Q124713283,reparto,país de origen,Cuba,Cuba,Q241
Q497957,Nueva Trova Cubana,país de origen,Cuba,Cuba,Q241
Q290869,Son montuno,país de origen,Cuba,Cuba,Q241
Q23925185,pilón,instancia de,género musical,género musical,Q188451
Q15830404,bolero,país,Cuba,Cuba,Q241
Q6397421,Bolero son,país de origen,Cuba,Cuba,Q241
Q3410882,Punto cubano,instancia de,género musical,género musical,Q188451
Q15830404,bolero,país,México,México,Q96
Q835562,habanera,instancia de,tipo de baile,tipo de baile,Q107357104
Q388475,Rumba cubana,subclase de,Música de Cuba,Música de Cuba,Q1544863
Q1552806,guaracha,país de origen,Cuba,Cuba,Q241
Q5646383,Yambú,instancia de,tipo de baile,tipo de baile,Q107357104
Q16986699,Chachachá,subclase de,Música de Cuba,Música de Cuba,Q1544863
Q371745,timba,subclase de,salsa,salsa,Q208239
Q835562,habanera,subclase de,Música de Cuba,Música de Cuba,Q1544863
Q16986699,Chachachá,subclase de,música de baile,música de baile,Q316930
Q388475,Rumba cubana,instancia de,género musical,género musical,Q188451
Q15830404,bolero,país de origen,Cuba,Cuba,Q241
Q1790876,Cuban hip hop,país de origen,Cuba,Cuba,Q241
Q16986699,Chachachá,subclase de,música tropical,música tropical,Q3328778
Q16986699,Chachachá,instancia de,género musical,género musical,Q188451
Q367751,pachanga,instancia de,tipo de baile,tipo de baile,Q107357104
Q5778054,Columbia (rumba),país de origen,Cuba,Cuba,Q241
