prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Ubicación de marcha más grande de Chile es,Santiago de Chile,la ciudad de Valparaíso. How do you say this sentence in,latam,0.14285714285714288,0,0.0
Imagen de marcha más grande de Chile es,Marcha Mas Grande De Chile 2019 Plaza Baquedano Drone.jpg,un mural de 13 metros de altura y 15 metros de,latam,0.09999999999999999,0,0.0
Categoría principal del tema de secretario regional ministerial de Chile es,Categoría:Secretarios regionales ministeriales de Chile,": 

A) Desarrollo económico
B) Relaciones internacionales",latam,0.0,0,0.0
Organización dirigida desde este cargo de secretario regional ministerial de Chile es,secretaría regional ministerial de Chile,la organización que se encarga de las actividades del ministerio. El cargo,latam,0.11764705882352941,0,0.0
Ubicación de nevadas en Santiago de Chile es,Santiago de Chile,"un tema que es importante para los turistas y residentes, ya que",latam,0.0,0,0.0
Imagen de Edificio del Congreso Nacional de Chile es,"Edificio del Congreso Nacional, Valparaíso 20230903 01.jpg","una imagen de un edificio muy importante en la capital del país, Santiago",latam,0.2,0,0.0
Estilo arquitectónico de Edificio del Congreso Nacional de Chile es,arquitectura posmoderna,":
El Edificio del Congreso Nacional de Chile, ubicado en la",latam,0.0,0,0.0
Organización matriz de Biblioteca de la Consejería Cultural de la Embajada de España en Santiago de Chile es,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",un sistema de gestión de bibliotecas que permite gestionar la información de,latam,0.1,0,0.0
Situado en la entidad territorial administrativa de Biblioteca de la Consejería Cultural de la Embajada de España en Santiago de Chile es,Santiago de Chile,"un espacio que ofrece servicios de préstamo y consulta de libros, revistas y",latam,0.125,0,0.0
Subclase de de Gobernador regional de Chile es,gobernador,"el cargo que ocupa el representante del Estado en el nivel regional,",latam,0.0,0,0.0
Forma femenina de la etiqueta de Gobernador regional de Chile es,gobernadora regional de Chile,"?
La forma femenina de la etiqueta ""Gobernador",latam,0.18181818181818182,0,0.0
Categoría principal del tema de Gobernador regional de Chile es,Categoría:Gobernadores regionales de Chile,":
A. Política
B. Ciencia
C. Sociedad",latam,0.0,0,0.0
Aplica a la jurisdicción de Gobernador regional de Chile es,región de Chile,el caso de la empresa en el cual un trabajador que fue despedido,latam,0.125,0,0.0
Categoría principal del tema de Cine LGBT de Chile es,Categoría:Películas con temática LGBT de Chile,":
A. Sociedad
B. Cultura
C. Entreten",latam,0.0,0,0.0
Situado en la dirección postal de Museo de Autos Antiguos de Chile es,"Calle Cañaveral 200, Quilicura",un museo de autos antiguos con más de 100,latam,0.0,0,0.0
Propiedad de de Museo de Autos Antiguos de Chile es,Fuerzas Armadas de Chile,"una empresa de entretenimiento, no un museo real.  No",latam,0.15384615384615383,0,0.0
Situado en la entidad territorial administrativa de Museo Numismático del Banco Central de Chile es,Santiago de Chile,el museo más importante del país. Se encuentra ubicado en la capital,latam,0.0,0,0.0
Imagen de Museo Numismático del Banco Central de Chile es,Vista general del interior del Museo (26451382993).jpg,la de un billete de 1000 pesos chilenos,latam,0.0,0,0.0
Categoría en Commons de Museo Numismático del Banco Central de Chile es,Museo Numismático del Banco Central de Chile,"la siguiente:
Museo Numismático del Banco Central de Chile",latam,0.8750000000000001,1,0.0
Subclase de de Doctores honoris causa de la Universidad de Chile es,doctor honoris causa,una distinción académica otorgada por la Universidad de Chile,latam,0.0,0,0.0
Conferido por de Doctores honoris causa de la Universidad de Chile es,Universidad de Chile,"el caso del Nobel de Literatura 2017, el escrit",latam,0.16666666666666666,0,0.0
Categoría principal del tema de Doctores honoris causa de la Universidad de Chile es,Categoría:Doctores honoris causa de la Universidad de Chile,":
A. Ciencias
B. Ciencias sociales
C. Ci",latam,0.0,0,0.0
Categoría para los galardonados con este premio de Doctores honoris causa de la Universidad de Chile es,Categoría:Doctores honoris causa de la Universidad de Chile,"el ""Impacto en la sociedad"", el cual se otorga en",latam,0.11111111111111112,0,0.0
Rango inmediatamente inferior de Collar de la Orden al Mérito de Chile es,Gran Cruz de la Orden al Mérito de Chile,el de Comendador. El título de Comendador se otorg,latam,0.2222222222222222,0,0.0
Ubicación de Round Table of Santiago de Chile es,Santiago de Chile,un lugar que se encuentra ubicado en el centro de la capital de Chile,latam,0.23529411764705882,0,0.0
Organización matriz de Subsecretaría de la Niñez de Chile es,Ministerio de Desarrollo Social y Familia de Chile,"una organización con un enfoque en el bienestar infantil, que",latam,0.0,0,0.0
Imagen de División de Salud del Ejército de Chile es,"División de Salud del Ejército, Santiago 20230816.jpg",el titular de un informe que fue publicado por la revista científ,latam,0.10526315789473685,0,0.0
Situado en la entidad territorial administrativa de Policlínico Institucional de Gendarmería de Chile es,Región de Arica y Parinacota,un centro de salud que brinda servicios de atención médica de primer nivel a,latam,0.10526315789473682,0,0.0
Situado en la dirección postal de Policlínico Institucional de Gendarmería de Chile es,"Colón 30, Arica",un edificio de 4 pisos con un área de 2.,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Centro de Oncología Preventiva de la Universidad de Chile es,Región Metropolitana de Santiago,"un laboratorio de investigación clínica de oncología preventiva, con",latam,0.15384615384615383,0,0.0
Situado en la entidad territorial administrativa de Centro de Salud Familiar Santiago Occidente de Carabineros de Chile es,Estación Central,"necesario que se realice una evaluación de los recursos humanos, de",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Centro de Salud Familiar Santiago Occidente de Carabineros de Chile es,Región Metropolitana de Santiago,un centro de salud que atiende a la comunidad de los sectores,latam,0.125,0,0.0
Situado en la dirección postal de Centro de Salud Familiar Santiago Occidente de Carabineros de Chile es,"Avenida Gladys 6701, Estación Central",el lugar donde se atiende a los usuarios que pertenecen,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Consultorio Escuela de formación policial de Carabineros de Chile es,Cerrillos,un centro de formación policial ubicado en el centro de la capital,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Consultorio Escuela de formación policial de Carabineros de Chile es,Región Metropolitana de Santiago,"un centro de formación profesional para carabineros de Chile, es el",latam,0.13333333333333333,0,0.0
Situado en la dirección postal de Consultorio Escuela de formación policial de Carabineros de Chile es,"Pedro Aguirre Cerda 6655, Cerrillos",una dependencia del Ministerio del Interior y Seguridad Pública. Es un,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Centro Médico Irarrázaval Pontificia Universidad Católica de Chile es,Ñuñoa,"un centro de salud de alto nivel, con el objetivo de brindar",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Centro Médico Irarrázaval Pontificia Universidad Católica de Chile es,Región Metropolitana de Santiago,"el primer hospital público de Chile, que fue construido en 18",latam,0.13333333333333333,0,0.0
Situado en la dirección postal de Centro Médico Irarrázaval Pontificia Universidad Católica de Chile es,"Avenida Irarrázaval 4949, Ñuñoa","el primer centro de salud privado de la región, dedicado a la",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Consultorio Escuela de Suboficiales de Carabineros de Chile es,Región Metropolitana de Santiago,"una institución educativa con fines formales de educación básica y media,",latam,0.13333333333333333,0,0.0
Situado en la dirección postal de Consultorio Escuela de Suboficiales de Carabineros de Chile es,"Rodrigo de Araya 2601, Macul","un edificio que se encuentra ubicado en la comuna de Santiago,",latam,0.12500000000000003,0,0.0
Situado en la entidad territorial administrativa de Consultorio Escuela de Carabineros de Chile es,Providencia,un centro de formación profesional donde se preparan oficiales de car,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Consultorio Escuela de Carabineros de Chile es,Región Metropolitana de Santiago,un lugar de atención de salud para los carabineros de la región.,latam,0.25,0,0.0
Situado en la dirección postal de Consultorio Escuela de Carabineros de Chile es,"Antonio Varas 1842, Providencia",el lugar donde se encuentran las oficinas centrales de la,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Centro de Salud de Universidad Austral de Chile es,Región de Los Ríos,"un hospital de base universitaria, con personal médico y de apoyo",latam,0.13333333333333333,0,0.0
Propiedad de de Centro de Salud de Universidad Austral de Chile es,Universidad Austral de Chile,un hospital de 400 camas con especialidades clínicas,latam,0.16666666666666666,0,0.0
Situado en la entidad territorial administrativa de Policlínico de Atención Primaria Gendarmería de Chile es,Río Bueno,un centro de salud de primer nivel que ofrece servicios de atención médica preventiva,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Policlínico de Atención Primaria Gendarmería de Chile es,Región de Los Ríos,"un centro de salud pública de primer nivel, con una alta calidad en la",latam,0.11111111111111112,0,0.0
Situado en la dirección postal de Policlínico de Atención Primaria Gendarmería de Chile es,"Ejército Libertador 655, Río Bueno",un edificio que alberga el complejo médico del personal de la,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Sección Sanidad Puerto Montt de la Policía de Investigaciones de Chile es,Región de Los Lagos,posible que no estés seguro de cómo proceder si se te solicita,latam,0.125,0,0.0
Situado en la dirección postal de Sección Sanidad Puerto Montt de la Policía de Investigaciones de Chile es,"Ramón Munita 536, Puerto Montt",una institución dedicada a la prevención de enfermedades. El ed,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Centro de Salud Universidad de Santiago de Chile es,Estación Central,"un hospital de alto nivel, de especialidades médicas, con equipos modern",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Centro de Salud Universidad de Santiago de Chile es,Región Metropolitana de Santiago,un centro de salud de atención primaria que se encuentra en la comuna,latam,0.11764705882352941,0,0.0
Situado en la dirección postal de Centro de Salud Universidad de Santiago de Chile es,"Avenida El Belloto 3556, Estación Central",un centro de salud público y está ubicado en la comuna de Santiago,latam,0.0,0,0.0
Reemplaza a de ministro de Planificación de Chile es,ministro de Planificación y Cooperación de Chile,el nuevo director del Fondo de Desarrollo Regional (FONDEF,latam,0.125,0,0.0
Reemplazado por de ministro de Planificación de Chile es,ministro de Desarrollo Social de Chile,el primer ministro de Chile. How do you say this sentence in English,latam,0.3157894736842105,0,0.0
Reemplazado por de ministro de Planificación y Cooperación de Chile es,ministro de Planificación de Chile,"un título de un libro, ¿qué libro es?

El título ""Re",latam,0.12500000000000003,0,0.0
Logotipo de Colegio de Bibliotecarios de Chile es,Colegio de Bibliotecarios de Chile - Logo.svg,un logotipo de un libro con un círculo de color,latam,0.25,0,0.0
Campo de trabajo de Colegio de Bibliotecarios de Chile es,biblioteconomía y documentación,"el trabajo en instituciones públicas y privadas, centros educativos",latam,0.16666666666666666,0,0.0
Miembro de de Colegio de Bibliotecarios de Chile es,Federación Internacional de Asociaciones de Bibliotecarios y Bibliotecas,una condición que se requiere para poder acceder a la prestación,latam,0.0,0,0.0
Subclase de de Doctores honoris causa de la Universidad de Santiago de Chile es,doctor honoris causa,el título honorífico otorgado a personalidades destacadas en distint,latam,0.0,0,0.0
Conferido por de Doctores honoris causa de la Universidad de Santiago de Chile es,Universidad de Santiago de Chile,"un honor muy prestigioso, y que solo se concede a personalidades",latam,0.0,0,0.0
Categoría para los galardonados con este premio de Doctores honoris causa de la Universidad de Santiago de Chile es,Categoría:Doctores honoris causa de la Universidad de Santiago de Chile,"el ""desarrollo sostenible, la justicia social y la",latam,0.11111111111111112,0,0.0
Subclase de de Doctores honoris causa de la Pontificia Universidad Católica de Chile es,doctor honoris causa,un título académico honorífico otorgado por la universidad,latam,0.0,0,0.0
Conferido por de Doctores honoris causa de la Pontificia Universidad Católica de Chile es,Pontificia Universidad Católica de Chile,"el título que recibe el profesor de la Universidad de Harvard, Steven",latam,0.23529411764705882,0,0.0
Categoría principal del tema de Doctores honoris causa de la Pontificia Universidad Católica de Chile es,Categoría:Doctores honoris causa de la Pontificia Universidad Católica de Chile,": 1. Ciencias Sociales y Humanidades, 2.",latam,0.0,0,0.0
Identificador en Facebook de Red de Sobrevivientes de Abuso Sexual Eclesiástico de Chile es,SobrevivientesdeAbusoEclesiasticoChile,el siguiente: 10006664448,latam,0.0,0,0.0
Nombre de usuario de Instagram de Red de Sobrevivientes de Abuso Sexual Eclesiástico de Chile es,redsobrevivientes,": ""RedSobrevivientesChile"". ¿Es correcto",latam,0.0,1,0.0
Deporte de Segunda División de Básquetbol de Chile es,baloncesto,un torneo de básquetbol profesional que se juega en Chile.,latam,0.0,0,0.0
Forma femenina de la etiqueta de delegado presidencial regional de Chile es,delegada presidencial regional de Chile,"?
La forma femenina de la etiqueta ""delegado pres",latam,0.15384615384615385,0,0.0
Subclase de de delegado presidencial regional de Chile es,gobernador,un término que se usa para describir a un funcionario que actúa,latam,0.0,0,0.0
Propiedad de de Casa de Moneda de Chile es,Corporación de Fomento de la Producción.,"un tipo de moneda de Chile, que fue emitida como parte del",latam,0.2222222222222222,0,0.0
Ubicación de la sede de Casa de Moneda de Chile es,Edificio de la Casa de Moneda de Chile,"en la comuna de Santiago, específicamente en el barrio de Last",latam,0.3157894736842105,0,0.0
Categoría en Commons de Casa de Moneda de Chile es,Casa de Moneda de Chile,"una categoría que tiene 39 imágenes, 0 videos y 0",latam,0.0,0,0.0
ARCHER ID de Casa de Moneda de Chile es,casa_de_moneda_de_chile,un sistema de identificación de monedas y billetes que se utiliza,latam,0.0,0,0.0
Imagen de Casa de Moneda de Chile es,"Casa de Moneda, Estación Central, Santiago 20230520 02.jpg","el lugar donde se fabrican las monedas, billetes y otros",latam,0.0,0,0.0
Nombre de usuario de Instagram de Casa de Moneda de Chile es,casamonedacl,":

El nombre de usuario de Instagram de la Casa de Moneda de Chile",latam,0.0,0,0.0
Categoría principal del tema de economía de Santiago de Chile es,Categoría:Economía de Santiago de Chile,"la producción, distribución y circulación de bienes y servicios,",latam,0.14285714285714285,0,0.0
Ubicación de economía de Santiago de Chile es,Santiago de Chile,"muy importante para la región, ya que es el centro económico, cultural y",latam,0.0,0,0.0
Subclase de de economía de Santiago de Chile es,economía de Chile,"una subclase del grupo de la economía de Chile, que se enf",latam,0.4,1,0.0
Reemplazado por de diócesis de Santiago de Chile es,Arquidiócesis de Santiago de Chile,"el actual arzobispo emérito de Santiago, el card",latam,0.3076923076923077,0,0.0
Cargo ocupado por el dirigente de diócesis de Santiago de Chile es,obispo de Santiago de Chile,"un cargo de alta responsabilidad, por lo que se requiere que el",latam,0.11764705882352941,0,0.0
Organización dirigida desde este cargo de obispo de Santiago de Chile es,diócesis de Santiago de Chile,la que ha estado a cargo del proceso de canonización de San José María,latam,0.21052631578947364,0,0.0
Reemplazado por de obispo de Santiago de Chile es,arzobispo de Santiago de Chile,el título que se le da al obispo que asume la di,latam,0.0,0,0.0
Subclase de de obispo de Santiago de Chile es,obispo católico latino,un título honorífico que otorga el Arzobispo,latam,0.0,0,0.0
Subclase de de obispo de Santiago de Chile es,obispo diocesano católico,un título honorífico que corresponde a un grupo de personas que han,latam,0.0,0,0.0
Subclase de de obispo de Santiago de Chile es,obispo sufragáneo,una institucion que se encarga de la gestion de la informacion y,latam,0.0,0,0.0
Lista del elemento de obispo de Santiago de Chile es,Anexo:Obispos de Santiago de Chile,el título que ostenta desde 1977 el obispo,latam,0.0,0,0.0
Imagen de obispo de Santiago de Chile es,Listado de Obispos en Chile.jpg,"el titular del diario El Mercurio, y el arzob",latam,0.0,0,0.0
Titular del cargo de Subsecretario de Educación de Chile es,Raúl Figueroa,el encargado de coordinar el trabajo del Ministerio de Educación.,latam,0.0,0,0.0
Organización dirigida desde este cargo de Subsecretario de Educación de Chile es,Subsecretaría de Educación de Chile,"la Secretaría de Educación del Ministerio de Educación de Chile.
La Secret",latam,0.47058823529411764,0,0.0
Forma femenina de la etiqueta de Subsecretario de Educación de Chile es,subsecretaria de educación de Chile,"Subsecretaria de Educación, pero se puede usar también como forma femen",latam,0.37499999999999994,0,0.0
Categoría principal del tema de Subsecretario de Educación de Chile es,Categoría:Subsecretarios de Educación de Chile,"el área de educación, específicamente en el contexto chileno. El",latam,0.26666666666666666,0,0.0
Situado en la entidad territorial administrativa de Central clasificadora de Correos de Chile es,Estación Central,un servicio que ofrece a las personas y empresas del país la posibilidad de,latam,0.0,0,0.0
Imagen de Central clasificadora de Correos de Chile es,"Central clasificadora de Correos de Chile, Estación Central, Santiago 20220626 02.jpg","un archivo de la Biblioteca Nacional de Chile, y su número de registro",latam,0.24999999999999994,0,0.0
Categoría en Commons de Central clasificadora de Correos de Chile es,Central clasificadora de Correos de Chile,una categoría que permite identificar los archivos relacionados con la Central clasific,latam,0.1111111111111111,0,0.0
Conferido por de Premio Nacional de Humor de Chile es,Universidad Diego Portales,un premio literario otorgado en Chile desde 198,latam,0.0,0,0.0
Lista de de Anexo:Material bélico del Ejército de Chile es,equipamiento militar,"una lista de material bélico de uso del Ejército de Chile,",latam,0.0,0,0.0
Subclase de de obispo castrense de Chile es,obispo castrense,la que se encarga de la administración de la catedral de,latam,0.0,0,0.0
Subclase de de obispo castrense de Chile es,obispo católico latino,"la de obispo militar, que en el derecho canónico es el",latam,0.14285714285714288,0,0.0
Subclase de de obispo castrense de Chile es,capellán castrense católico,"la que se conoce como obispo castrense, que es",latam,0.16666666666666666,0,0.0
Categoría principal del tema de convencional constituyente de Chile es,Categoría:Convencionales constituyentes de Chile,"el derecho constitucional, pero también se puede incluir temas como el",latam,0.0,0,0.0
Subclase de de convencional constituyente de Chile es,legislador,un sistema de gobierno en que la constitución es un acto de la,latam,0.0,0,0.0
Organización dirigida desde este cargo de presidenta de la Convención Constitucional de Chile es,Convención Constitucional,la que ha estado promoviendo la reforma constitucional de Chile,latam,0.16666666666666669,0,0.0
Subclase de de presidenta de la Convención Constitucional de Chile es,convencional constituyente de Chile,un cargo que se encarga de presidir la Convención Constituc,latam,0.14285714285714288,0,0.0
Subclase de de presidenta de la Convención Constitucional de Chile es,presidente,"la de Presidenta de la Convención Constitucional, que es un",latam,0.0,0,0.0
Titular del cargo de presidenta de la Convención Constitucional de Chile es,Elisa Loncon,"la abogada y política chilena Carolina Tohá, quien",latam,0.0,0,0.0
Titular del cargo de presidenta de la Convención Constitucional de Chile es,María Elisa Quinteros,"la doctora en Derecho, licenciada en Ciencias Polít",latam,0.0,0,0.0
Forma femenina de la etiqueta de presidenta de la Convención Constitucional de Chile es,Presidenta da Convención Constitucional de Chile,"""presidenta"" o ""presidenta de la Convención Constit",latam,0.4615384615384615,0,0.0
Forma masculina de la etiqueta de presidenta de la Convención Constitucional de Chile es,Presidente da Convención Constitucional de Chile,"presidenta o presidente? La forma masculina de la etiqueta ""pres",latam,0.25,0,0.0
Subclase de de Milagro de Chile es,designación,un tipo de subclase de de Milagro. Es un tipo,latam,0.0,0,0.0
Subclase de de Milagro de Chile es,economía,"un municipio del departamento de Catamarca, Argentina, ubicado a",latam,0.0,0,0.0
Diferente de de Milagro de Chile es,Milagro de Chile,"la isla de San Ambrosio, que está al norte de",latam,0.15384615384615383,0,0.0
Organización dirigida desde este cargo de Subsecretario de Telecomunicaciones de Chile es,Subsecretaría de Telecomunicaciones de Chile,"la Secretaría de Telecomunicaciones, cuyo propósito es ""promover",latam,0.3076923076923077,0,0.0
Forma femenina de la etiqueta de Subsecretario de Telecomunicaciones de Chile es,Subsecretaria de telecomunicaciones de Chile,": 
La forma femenina de la etiqueta ""Subsecretario",latam,0.16666666666666666,0,0.0
Titular del cargo de Subsecretario de Telecomunicaciones de Chile es,Francisco Moreno Guzmán,el cargo que ejerce la persona encargada de supervisar la,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Monumento por los Derechos LGBTI de Chile es,Comuna de Santiago,"un reconocimiento otorgado por el Ministerio de Vivienda,",latam,0.18181818181818182,0,0.0
Imagen de Monumento por los Derechos LGBTI de Chile es,"Monumento por los Derechos LGBTI de Chile, Santiago 20200313.jpg","un trabajo de arte de gran importancia, que se encuentra ubicado en",latam,0.09523809523809525,0,0.0
Operador de Parques urbanos de Chile es,Ministerio de Vivienda y Urbanismo de Chile,una empresa que se encarga de la gestión de parques urbanos en,latam,0.2105263157894737,0,0.0
Situado en la entidad territorial administrativa de Asociación Nacional de Fiscales de Chile es,Santiago de Chile,"una organización que agrupa a fiscales de todo el país, con el",latam,0.13333333333333333,0,0.0
Miembro de de Asociación Nacional de Fiscales de Chile es,Asociación Internacional de Fiscales,un cargo que se ejerce dentro de la estructura de la Asoci,latam,0.125,0,0.0
Ubicación de la sede de Asociación Nacional de Fiscales de Chile es,Santiago de Chile,"en la ciudad de Santiago, específicamente en el barrio de Ñ",latam,0.28571428571428575,0,0.0
Orden religiosa de Inspectoría salesiana de Chile es,Salesianos de Don Bosco,una orden religiosa de la Iglesia católica que pertenece al,latam,0.14285714285714288,0,0.0
Categoría principal del tema de Literatura LGBT de Chile es,Categoría:Literatura LGBT en Chile,"""Literatura chilena"" y ""Literatura LGBT"" con una",latam,0.18181818181818182,0,0.0
Faceta de de Literatura LGBT de Chile es,diversidad sexual en Chile,un blog de literatura y cultura que nace en 201,latam,0.14285714285714288,0,0.0
Fichero digitalizado en Wikimedia Commons de Constitución Política del Estado de Chile es,Constitución Política del Estado de Chile de 1822.pdf,el texto que establece el ordenamiento jurídico de Chile. F,latam,0.22222222222222224,0,0.0
Lugar de publicación de Constitución Política del Estado de Chile es,Santiago de Chile,":
A) Valparaíso
B) Santiago
C) Conce",latam,0.2222222222222222,0,0.0
Precedido por de LVI Periodo Legislativo del Congreso Nacional de Chile es,LV periodo legislativo del Congreso Nacional de Chile,el periodo legislativo que se desarrolló entre el 1 de marzo,latam,0.3157894736842105,0,0.0
Reunión de de LVI Periodo Legislativo del Congreso Nacional de Chile es,Congreso Nacional de Chile,"un evento importante en la política chilena, donde se discuten temas",latam,0.0,0,0.0
Imagen de Movimiento feminista y de mujeres en la dictadura militar de Chile es,Agrupación de Familiares de Detenidos Desaparecidos de Chile (de Kena Lorenzini).jpg,un proyecto de investigación artística que pretende reflexionar sobre los efect,latam,0.09090909090909091,0,0.0
Precedido por de Temporada 2019 del Club Universidad de Chile es,Temporada 2018 del Club Universidad de Chile,"el tercer partido del torneo 2020, el cual fue",latam,0.125,0,0.0
Logotipo de Servicio de Evaluación Ambiental de Chile es,Logo Servicio de Evaluación Ambiental de Chile.png,"un logotipo de color azul y blanco, con el nombre del",latam,0.1111111111111111,0,0.0
Ubicación de la sede de Fundación Artesanías de Chile es,Casa de Velasco (Chile),"en la Avenida del Bicentenario 1100,",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Fundación Artesanías de Chile es,Santiago de Chile,"el lugar donde se encuentra el Museo de las Artesanías,",latam,0.15384615384615383,0,0.0
Logotipo de Fundación Artesanías de Chile es,Fundacion Artesanias de Chile.png,un logotipo que se compone de un cuadrado con un,latam,0.14285714285714288,0,0.0
Campo de trabajo de Fundación Artesanías de Chile es,artesanía,"un espacio de creación y producción artesanal de alta calidad, en",latam,0.0,0,0.0
Categoría en Commons de Fundación Artesanías de Chile es,Fundación Artesanías de Chile,"un espacio de imágenes que pueden ser usadas libremente, con la cond",latam,0.125,0,0.0
Nombre de usuario de Instagram de Fundación Artesanías de Chile es,artesaniasdechile,":
La Fundación Artesanías de Chile no tiene un nombre de",latam,0.0,0,0.0
Logotipo de Universidad Tecnológica de Chile es,Universidad Tecnológica de Chile INACAP.png,"un círculo con la palabra ""Innovación"" en el",latam,0.0,0,0.0
Subclase de de presidente del Banco Central de Chile es,gobernador de banco central,el cargo de presidente del Banco Central de Chile. El cargo se divide en,latam,0.3333333333333333,0,0.0
Organización dirigida desde este cargo de presidente del Banco Central de Chile es,Banco Central de Chile,un organismo que cumple funciones de supervisión y regulación del sistema,latam,0.13333333333333333,0,0.0
Imagen de Casa Museo Artesanías de Chile es,Casa Museo Artesanías de Chile 01.jpg,"un sitio web que ofrece información sobre la historia, la cultura y las art",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Casa Museo Artesanías de Chile es,Santiago de Chile,"un museo que se encuentra en la comuna de San Antonio, Reg",latam,0.13333333333333333,0,0.0
Categoría en Commons de Casa Museo Artesanías de Chile es,Casa Museo Artesanías de Chile,"un proyecto de la Fundación Museo Artesanías de Chile,",latam,0.5714285714285714,0,0.0
Propiedad de de Casa Museo Artesanías de Chile es,Fundación Artesanías de Chile,un museo con una colección de objetos artesanales de Chile,latam,0.28571428571428575,0,0.0
Subclase de de Instituto de Ecología de Chile es,ecología,un instituto de investigación que pertenece al Ministerio de Ciencia,latam,0.0,0,0.0
Nombre oficial de Instituto de Ecología de Chile es,Instituto de Ecología de Chile,...? El nombre oficial del Instituto de Ecología de Chile es **In,latam,0.625,1,0.0
Situado en la entidad territorial administrativa de Museo Nacional de Bomberos de Chile es,Providencia,"el primer museo nacional dedicado a la historia, cultura, tecnología y",latam,0.0,0,0.0
Situado en la dirección postal de Museo Gastronómico de Chile es,Avenida Borgoño s/n zócalo Playa Amarilla,una escuela de arte y diseño que se encuentra en el barrio de,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Museo Gastronómico de Chile es,Concón,un museo dedicado a la historia de la gastronomía chilena,latam,0.0,0,0.0
Situado en la dirección postal de Museo Marista de Chile es,General Baquedano 674,el edificio que albergó a la primera escuela marista en,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Museo Marista de Chile es,Comuna de Santiago,un museo que se encuentra ubicado en el corazón de la ciudad de,latam,0.125,0,0.0
